15,3,1850-01-31,1850-08-15,1850,13 & 14 Vict.,Q108997737
15,2,1849-02-01,1849-08-01,1849,12 & 13 Vict.,Q108997738
15,1,1847-11-18,1848-09-05,1847-48,11 & 12 Vict.,Q108997739
14,7,1847-01-19,1847-07-23,1847,10 & 11 Vict.,Q108997740
14,6,1846-01-22,1846-08-28,1846,9 & 10 Vict.,Q108997741
14,5,1845-02-04,1845-08-09,1845,8 & 9 Vict.,Q108997742
14,4,1844-02-01,1844-09-05,1844,7 & 8 Vict.,Q108997743
14,3,1843-02-02,1843-08-24,1843,6 & 7 Vict.,Q108997744
14,2,1842-02-03,1842-08-12,1842,5 & 6 Vict.,Q108997745
14,1,1841-08-19,1841-10-07,1841 Session II,5 Vict.,Q108997746
13,4,1841-01-26,1841-06-22,1841 Session I,4 & 5 Vict.,Q108997747
13,3,1840-01-16,1840-08-11,1840,3 & 4 Vict.,Q108997748
13,2,1839-02-05,1839-08-27,1839,2 & 3 Vict.,Q108997751
13,1,1837-11-15,1838-08-16,1837-38,1 & 2 Vict.,Q108997752
12,3,1837-01-31,1837-07-17,1837,7 Will. 4 & 1 Vict.,Q108997753
12,2,1836-02-04,1836-08-20,1836,6 & 7 Will. 4,Q108997754
12,1,1835-02-19,1835-09-10,1835,5 & 6 Will. 4,Q108997755
11,2,1834-02-04,1834-08-15,1834,4 & 5 Will. 4,Q108997756
11,1,1833-01-29,1833-08-29,1833,3 & 4 Will. 4,Q108997757
10,2,1831-12-06,1832-08-16,1831-32,2 & 3 Will. 4,Q108997758
10,1,1831-06-14,1831-10-20,1831,1 & 2 Will. 4,Q108997759
9,1,1830-10-26,1831-04-22,1830-31,1 Will. 4,Q108997760
8,4,1830-02-04,1830-06-04,1830,11 Geo. 4,Q108997761
8,3,1829-02-05,1829-06-24,1829,10 Geo. 4,Q108997762
8,2,1828-01-29,1828-07-28,1828,9 Geo. 4,Q108997763
8,1,1826-11-14,1827-07-02,1826-27,7 & 8 Geo. 4,Q108997764
7,7,1826-02-02,1826-05-31,1826,7 Geo. 4,Q108997775
7,6,1825-02-03,1825-07-06,1825,6 Geo. 4,Q108997790
7,5,1824-02-03,1824-06-25,1824,5 Geo. 4,Q108997803
7,4,1823-02-04,1823-07-19,1823,4 Geo. 4,Q108997815
7,3,1822-02-05,1822-08-06,1822,3 Geo. 4,Q108997828
7,2,1821-01-23,1821-07-11,1821,1 & 2 Geo. 4,Q108997842
7,1,1820-04-21,1820-11-23,1820,1 Geo. 4,Q108997855
6,2,1819-11-23,1820-02-28,1819-20,60 Geo. 3 & 1 Geo. 4,Q108997862
6,1,1819-01-14,1819-07-13,1819,59 Geo. 3,Q108997863
5,6,1818-01-27,1818-06-10,1818,58 Geo. 3,Q108997864
5,5,1817-01-28,1817-07-12,1817,57 Geo. 3,Q108997865
5,4,1816-02-01,1816-07-02,1816,56 Geo. 3,Q108997866
5,3,1814-11-08,1815-07-12,1814-15,55 Geo. 3,Q108997867
5,2,1813-11-04,1814-07-30,1813-14,54 Geo. 3,Q108997868
5,1,1812-11-24,1813-07-22,1812-13,53 Geo. 3,Q108997869
4,6,1812-01-07,1812-07-30,1812,52 Geo. 3,Q108997870
4,5,1810-11-01,1811-07-24,1810-11,51 Geo. 3,Q108997871
4,4,1810-01-23,1810-06-21,1810,50 Geo. 3,Q108997872
4,3,1809-01-19,1809-06-21,1809,49 Geo. 3,Q108997873
4,2,1808-01-21,1808-07-04,1808,48 Geo. 3,Q108997874
4,1,1807-06-22,1807-08-14,1807,47 Geo. 3,Q108997875
3,1,1806-12-15,1807-04-27,1806-07,47 Geo. 3,Q108997876
2,4,1806-01-21,1806-07-23,1806,46 Geo. 3,Q108997877
2,3,1805-01-15,1805-07-12,1805,45 Geo. 3,Q108997878
2,2,1803-11-22,1804-07-31,1803-04,44 Geo. 3,Q108997879
2,1,1802-11-16,1803-08-12,1802-03,43 Geo. 3,Q108997880
1,2,1801-10-29,1802-06-28,1801-02,42 Geo. 3,Q108997881
1,1,1801-01-22,1801-07-02,1801,41 Geo. 3,Q108997882
